+H
1) Allgemeine Informationen
ID	M195
Strukturschlssel
Texttitel	Windberger Psalter
Textkrzel
a) ReM	Wind
b) MWB	PsWindb
c) MiGraKo-intern	II-1-P_Wind
Textbereich	Religion
Textsorte, spezifisch	Psalmenbersetzung
Textart	P
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Mnchen, Staatsbibl.
Signatur	Cgm 17
Handschriftencensus	http://www.handschriftencensus.de/8830
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 9r-224r
Ausschnitt	" 1,0{9r,1}-17,7{27v,16}; 51,1{80r,1}-66,8{96r,10c}; 127,5{186v,1}-147,20{204r,4}. - nur pr„editiert:  66,8a{96r,13a}-67,36{98v,16}; 148,1{204r,5}-150,06f{206r,16}"
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch
Sprachlandschaft	bairisch
Lokalisierung	Windberg
Zeit (Jahrhundert, Jahrhunderth„lfte)	12,2
Zeit (genauere Datierung)	12,3V-4V, wahrscheinlich 1174
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	12/2H
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	Klaus Kirchert, Der Windberger Psalter, Band II: Textausgabe (MTU 60), Mnchen 1979.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation	"nur pr„editiert:  66,8a{96r,13a}-67,36{98v,16}; 148,1{204r,5}-150,06f{206r,16}"
6) Bearbeiter
Bearbeiter: Digitalisierung	Aletta Leipold (Halle)
Bearbeiter: Kollationierung	Heike Link, Dany-Sophie Klukas, Aletta Leipold, Hans-Joachim Solms (Halle)
Bearbeiter: Pr„editierung	Ian Holt (Bonn)
Bearbeiter: Annotierung	Ian Holt (Bonn)
Bearbeiter: Korrektur	Thomas Klein (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:45: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:40: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:41: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:07: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:42: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:20: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:33: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:21: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`dise @pron	ùdise	#pron	^NSm	~dirre	\dirre	_IIú1úP_Wind-001,00{09r,01}.01	ø	:/K[Text auf 8v: I$te liber e$t $ancte Marie In Windberg.]/E[Psalm1]	³d=d³i=i³rr=rr³e=e³
`ˆr(e)st @adj sup	ùˆr(e)st	#adj sup	^NSmw	~ˆr(e)ste	\eri$t e	_IIú1úP_Wind-001,00{09r,01}.02	ø	:	³e=ˆ³r=r³i=e³s=s³t=t³e=e³
`salm(e) @mn<(u)>	ùsalme	#m<(u)>	^NS	~salm‚	\$almo	_IIú1úP_Wind-001,00{09r,01}.03	ø	:	³s=s³a=a³l=l³m=m³o=‚³
`von @pr„p	ùvon	#pr„p	^	~vone	\uone|	_IIú1úP_Wind-001,00{09r,01}.04	ø	:	³u=v³o=o³n=n³e=e³
`d‰r @pron	ùd‰r	#pron	^IS	~diu	\|d iu	_IIú1úP_Wind-001,00{09r,01}.05	ø	:	³d=d³iu=iu³
`d‰r @art	ùd‰r	#art	^ASm	~d‰n	\d en	_IIú1úP_Wind-001,00{09r,02}.06	ø	:	³d=d³e=‰³n=n³
`briŠv @m	ùbriŠv	#m	^AS	~briŠv	\brief	_IIú1úP_Wind-001,00{09r,02}.07	ø	:	³b=b³r=r³ie=iŠ³f=v³
`niŠne @adv	ùniŠne	#adv	^	~niŠne	\nihene	_IIú1úP_Wind-001,00{09r,02}.08	ø	:	³n=n³ihe=iŠ³n=n³e=e³
`haben @swv-a	ùhaben	#swv-a	^3SGI	~hƒt	\hat.,,	_IIú1úP_Wind-001,00{09r,02}.09	ø	:	³h=h³a=ƒ³t=t³
`wante @konj	ùwante	#konj	^	~wante	\wande	_IIú1úP_Wind-001,00{09r,02}.10	ø	:	³w=w³a=a³n=n³d=t³e=e³
`houbet @n	ùhoubet	#n	^DS	~houbete	\hoube(=)te,	_IIú1úP_Wind-001,00{09r,02}.11	ø	:	³h=h³ou=ou³b=b³e=e³t=t³e=e³
`unser @pron_poss	ùunser	#pron_poss	^DSm	~unser(e)m	\un$er em	_IIú1úP_Wind-001,00{09r,03}.12	ø	:	³u=u³n=n³s=s³e=e³r=r³e=e³m=m³
`hŠil‘re @m	ùhŠil‘re	#m	^DS	~hŠil‘re	\heil‘ri,	_IIú1úP_Wind-001,00{09r,03}.13	ø	:	³h=h³ei=Ši³l=l³‘=‘³r=r³i=e³
`d‰r @art	ùd‰r	#art	^DSm	~d‰me	\d eme	_IIú1úP_Wind-001,00{09r,03}.14	ø	:	³d=d³e=‰³m=m³e=e³
`hˆrre @m	ùhˆrre	#m	^DS	~hˆrren	\herren,,(	_IIú1úP_Wind-001,00{09r,03}.15	ø	:	³h=h³e=ˆ³rr=rr³e=e³n=n³
`von @pr„p	ùvon	#pr„p	^	~vone	\uone	_IIú1úP_Wind-001,00{09r,04}.16	ø	:	³u=v³o=o³n=n³e=e³
`d‰r @pron	ùd‰r	#pron	^DSm+	~d‰m‚	\d emo	_IIú1úP_Wind-001,00{09r,04}.17	ø	:	³d=d³e=‰³m=m³o=‚³
`er-lŠdig-lŒche @adv	ùer-lŠdig-lŒche	#adv	^	~er-lŠdig-lŒche	\erledichliche	_IIú1úP_Wind-001,00{09r,04}.18	ø	:/ù[absolute][L-]	³e=e³r=r³=-³l=l³e=Š³d=d³i=i³ch=g³=-³l=l³i=Œ³ch=ch³e=e³
`sagen @swv-a	ùsagen	#swv-a pV	^-	~ge-saget	\ge$aget 	_IIú1úP_Wind-001,00{09r,04}.19	ø	:	³g=g³e=e³=-³s=s³a=a³g=g³e=e³t=t³
