+H
1) Allgemeine Informationen
ID	M136
Strukturschlssel
Texttitel	Arnsteiner Marienlied
Textkrzel
a) ReM	ArnM
b) MWB	MarldA
c) MiGraKo-intern	II-4-V_ArnM
Textbereich	Religion, Poesie
Textsorte, spezifisch	Mariendichtung
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Wiesbaden, Hauptstaatsarchiv
Signatur	Abt. 3004 Nr. C 8
Handschriftencensus	http://www.handschriftencensus.de/3688
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 129v-135v
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	mittelfr„nkisch, rheinfr„nkisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	12,2
Zeit (genauere Datierung)	12,3D (nicht vor den siebziger Jahren)
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	12,M
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	"Friedrich Maurer (Hg.), Die religi”sen Dichtungen des 11. und 12. Jahrhunderts, Bd. I, Tbingen 1964,  Nr.  19, S. 433-452; Werner Schr”der (Hg.), Kleinere deutsche Gedichte des 11. und 12. Jahrhunderts. Nach der Auswahl von Albert Waag, Tbingen 1972, Nr. 10"
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Erika Schr”ppel (IgL, Bonn)
Bearbeiter: Kollationierung	Christine Hentschel, Frank Ringeler, Thomas Klein (Bonn)
Bearbeiter: Pr„editierung	Thomas Klein (Bonn)
Bearbeiter: Annotierung	Thomas Klein (Bonn)
Bearbeiter: Korrektur	Thomas Klein (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:45: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:41: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:42: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:08: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:43: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:25: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:33: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:22: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`[!] @[!]	ù[!]	#[!]	^	~[!]	\[*(D*)][...]	_IIú4úV_ArnM-001{130v,04}.01	ø	:	*³[*(D*)][...]=[!]³
`all @pron	ùall	#pron	^NASf	~alle	\[all e]	_IIú4úV_ArnM-001{130v,04}.02	ø	:	*³[alle]=alle³
`dise @pron	ùdise	#pron	^NASf	~dise	\[du$ e]	_IIú4úV_ArnM-001{130v,04}.03	ø	:	*³[duse]=dise³
`w‰r(e)lt @f	ùw‰r(e)lt	#f	^NAS	~w‰r<e>lt	\[werlt.](.)	_IIú4úV_ArnM-001{130v,05}.04@	ø	:	³[werlt]=[w‰relt]³
`von @pr„p	ùvon	#pr„p	^	~van	\[van]	_IIú4úV_ArnM-002{130v,05}.01	ø	:	*³[van]=van³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\[d er]	_IIú4úV_ArnM-002{130v,05}.02	ø	:	*³[der]=d‰r³
`sunne @mf	ùsunne	#f	^DS	~sunnen	\[$unnen]	_IIú4úV_ArnM-002{130v,05}.03	ø	:	*³[sunnen]=sunnen³
`‰r @pron	ù‰r	#pron	^NSn	~‰zz	\[ez]	_IIú4úV_ArnM-002{130v,05}.04	ø	:/E[ez: Papp; {iz} Maurer]	*³[ez]=‰zz³
`gƒn @anv	ùgƒn	#anv	^3SGI	~gŠit	\<geit>	_IIú4úV_ArnM-002{130v,05}.05@	ø	:	³g=g³ei=Ši³t=t³
`ƒne @pr„p	ùƒne	#pr„p	^	~ƒne	\[ane]	_IIú4úV_ArnM-003{130v,05}.01	ø	:	*³[ane]=ƒne³
`sˆr @mn	ùsˆr	#mn	^AS	~sˆr	\$er	_IIú4úV_ArnM-003{130v,05}.02	ø	:	³s=s³e=ˆ³r=r³
`unte @konj	ùunte	#konj	^	~unt<e>	\und	_IIú4úV_ArnM-003{130v,06}.03	ø	:	³u=u³n=n³d=t³=e³
`ƒne @pr„p	ùƒne	#pr„p	^	~ƒn<e>	\an	_IIú4úV_ArnM-003{130v,06}.04	ø	:	³a=ƒ³n=n³=e³
`arbŠit @fn	ùarbŠit	#fn	^AS	~arbŠit	\arbeit.(.)	_IIú4úV_ArnM-003{130v,06}.05@	ø	:	³a=a³r=r³b=b³ei=Ši³t=t³
`d‰r @art	ùd‰r	#art	^NSn	~dazz	\d az	_IIú4úV_ArnM-004{130v,06}.01	ø	:	³d=d³a=a³z=zz³
`kind @n	ùkind	#n	^NS	~kind	\kint,,	_IIú4úV_ArnM-004{130v,06}.02	ø	:	³k=k³i=i³n=n³t=d³
`d‰r @pron	ùd‰r	#pron	^NSn+	~dazz	\d az	_IIú4úV_ArnM-004{130v,06}.03	ø	:	³d=d³a=a³z=zz³
`himel @m	ùhimel	#m	^AS	~himel	\hime[l]	_IIú4úV_ArnM-004{130v,06}.04	ø	:	³h=h³i=i³m=m³e=e³[l]=l³
`unte @konj	ùunte	#konj	^	~unt<e>	\und	_IIú4úV_ArnM-004{130v,06}.05	ø	:	³u=u³n=n³d=t³=e³
`‰rde @f	ù‰rde	#f	^AS	~‰rden	\erden	_IIú4úV_ArnM-004{130v,07}.06	ø	:	³e=‰³r=r³d=d³e=e³n=n³
`sol(e)n @anv	ùsol(e)n	#anv	^3SV	~solte	\$olde	_IIú4úV_ArnM-004{130v,07}.07	ø	:	³s=s³o=o³l=l³d=t³e=e³
