+H
1) Allgemeine Informationen
ID	M342
Strukturschlssel
Texttitel	Gottfried von Straáburg: Tristan
Textkrzel
a) ReM	Tris
b) MWB	Tr (M)
c) MiGraKo-intern	III-0-V_Tris
Textbereich	Poesie
Textsorte, spezifisch	h”fischer Roman
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Mnchen, Staatsbibl.
Signatur	Cgm 51
Handschriftencensus	http://www.handschriftencensus.de/1286
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	noch 109 Bl„tter
Ausschnitt	"vv. 1-818 (Bl. 1ra,1-5va,14); 6951-7788 (48ra,19-52vb,18); 18131-18749 (94vb,5-96vb,25); 18761-19194 (96vb,37-98vb,39) (1. Hand)."
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch, westoberdeutsch
Sprachlandschaft	westbairisch-ostalemannisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)
Zeit (genauere Datierung)	"13,2V; etwa fnftes Jahrzehnt des 13. Jh.s. (Montag , Gichtel 1979, Bd. 2, 5 u. 36; auch Klemm 1998, Nr. 202); ""gegen die Jahrhundertmitte"" (K. Schneider 1987a, 152)."
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	ca. 1200-1210
Lokalisierung_Text
Autor
Sprache des Autors	(west-)alem.
šbersetzungsvorlage
Edition	Karl Marold (Hg.), Gottfried von Straáburg, Tristan. Dritter Abdruck mit einem durch F. Rankes Kollationen erweiterten und verbesserten Apparat besorgt und mit einem Nachwort versehen von Werner Schr”der, Berlin 1969
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Heike Link (Halle)
Bearbeiter: Kollationierung	J”rn Weinert, Aletta Leipold, Hans-Joachim Solms (Halle)
Bearbeiter: Pr„editierung	Astrid Mischke (Bonn)
Bearbeiter: Annotierung	Astrid Mischke, Kathrin Chlench (Bonn)
Bearbeiter: Korrektur	Stefan Mller (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:45: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:42: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:42: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:09: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:44: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:08: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:31: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:23: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`ge-dŠnken @swv-a	ùge-dŠnken	#swv-a	^3SGI	~ge-dŠnket	\*{G*}edenchet	_IIIú0úV_Tris-00001{01ra,01}.01	ø	:/K[1ra,01: darber {Herr Tri$trant.} in einer Hand des 15. Jh.]	³g=g³e=e³=-³d=d³e=Š³n=n³ch=k³e=e³t=t³
`man @pron_subst	ùman	#pron_subst	^NS	~man	\man	_IIIú0úV_Tris-00001{01ra,01}.02	ø	:	³m=m³a=a³n=n³
`‰r @pron	ù‰r	#pron	^GP	~ir	\<ir>	_IIIú0úV_Tris-00001{01ra,01}.03	ø	:/K[ir: verbessert aus der]	³i=i³r=r³
`ze @pr„p	ùze	#pr„p	^	~ze	\ze|	_IIIú0úV_Tris-00001{01ra,01}.04	ø	:	³z=z³e=e³
`guot @n	ùguot	#n	^DS	~guote	\|go\vte	_IIIú0úV_Tris-00001{01ra,01}.05	ø	:	³g=g³o\v=uo³t=t³e=e³
`niht @adv	ùniht	#adv	^	~niht	\niht.,,	_IIIú0úV_Tris-00001{01ra,01}.06@	ø	:	³n=n³i=i³h=h³t=t³
`von @pr„p	ùvon	#pr„p	^	~von	\[[von]]	_IIIú0úV_Tris-00002{01ra,01}.01	ø	:	*³[[von]]=[von]³
`d‰r @pron	ùd‰r	#pron	^DP+	~d‰n	\[[d en]]	_IIIú0úV_Tris-00002{01ra,01}.02	ø	:	*³[[den]]=[d‰n]³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\[[d er]]	_IIIú0úV_Tris-00002{01ra,01}.03	ø	:	*³[[der]]=[d‰r]³
`w‰r(e)lt @f	ùw‰r(e)lt	#f	^DS	~w‰r<e>lte	\[[werlde]]	_IIIú0úV_Tris-00002{01ra,01}.04	ø	:	³[werlde]=[w‰relte]³
`guot @n	ùguot	#n	^NS	~guot	\[[guot]]	_IIIú0úV_Tris-00002{01ra,01}.05	ø	:	*³[[guot]]=[guot]³
`ge-sch‰hen @stv5	ùge-sch‰hen	#stv5	^3SGI	~ge-schih<e>t	\[[geschiht]],,	_IIIú0úV_Tris-00002{01ra,01}.06@	ø	:	³[geschiht]=[ge-schihet]³
`s“ @adv/konj	ùs“	#adv	^	~s“	\So	_IIIú0úV_Tris-00003{01ra,02}.01	ø	:	³s=s³o=“³
`w‰sen @stv5	ùw‰sen	#stv5	^3SVK	~w‘re	\ware	_IIIú0úV_Tris-00003{01ra,02}.02	ø	:	³w=w³a=‘³r=r³e=e³
`‰r @pron	ù‰r	#pron	^NSn	~‰zz	\ez	_IIIú0úV_Tris-00003{01ra,02}.03	ø	:	³e=‰³z=zz³
`all @pron	ùall	#pron	^NSn%&	~allezz	\all ez	_IIIú0úV_Tris-00003{01ra,02}.04	ø	:	³a=a³ll=ll³e=e³z=zz³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-se	\al$e	_IIIú0úV_Tris-00003{01ra,02}.05	ø	:	³a=a³l=ll³=-³s=s³e=e³
`niht @n	ùniht	#n	^NS	~niht	\niht.,,	_IIIú0úV_Tris-00003{01ra,02}.06@	ø	:	³n=n³i=i³h=h³t=t³
`sw‰r @pron	ùsw‰r	#pron	^NSn	~swazz	\Sw az	_IIIú0úV_Tris-00004{01ra,03}.01	ø	:	³s=s³w=w³a=a³z=zz³
`guot @n	ùguot	#n	^GS	~guotes	\go\vte$	_IIIú0úV_Tris-00004{01ra,03}.02	ø	:	³g=g³o\v=uo³t=t³e=e³s=s³
`in @pr„p	ùin	#pr„p	^	~in	\in	_IIIú0úV_Tris-00004{01ra,03}.03	ø	:	³i=i³n=n³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_IIIú0úV_Tris-00004{01ra,03}.04	ø	:	³d=d³e=‰³r=r³
`w‰r(e)lt @f	ùw‰r(e)lt	#f	^DS	~w‰r<e>lt	\werlt	_IIIú0úV_Tris-00004{01ra,03}.05	ø	:	³w=w³e=‰³r=r³=e³l=l³t=t³
