+H
1) Allgemeine Informationen
ID	M329
Strukturschlssel
Texttitel	Millst„tter Predigtsammlung
Textkrzel
a) ReM	PrMi
b) MWB	PrMill
c) MiGraKo-intern	III-1-P_PrMi
Textbereich	Religion
Textsorte, spezifisch	Predigt
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz	Edition
2) šberlieferungstr„ger
Aufbewahrungsort	[a] Krakau, Bibl. Jagiellon\ïska; [b] Karlsruhe, Landesbibl.
Signatur	[a] Berol. mgq 484; [b] Cod. Donaueschingen 290
Handschriftencensus	http://www.handschriftencensus.de/1162
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	[a] noch 96 + 8 Bl„tter; [b] 2 Doppelbl„tter + Reste von 2 Doppelbl„ttern
Ausschnitt	Bl. 14v,11-36v,26
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch
Sprachlandschaft	bairisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,1-13,2
Zeit (genauere Datierung)	13,M
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text
Lokalisierung_Text
Autor
Sprache des Autors	 alem. (St. Georgen?) (vgl. R. Schiewer 2003, 56f.).
šbersetzungsvorlage
Edition	Franz Joseph Mone, Altteutsche Predigten, in: Anzeiger fr Kunde der teutschen Vorzeit 8 (1839), Sp. 409-433, 509-530
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Kathrin Chlench (Bonn)
Bearbeiter: Annotierung	Kathrin Chlench (Bonn)
Bearbeiter: Korrektur	Elke Weber, Stefan Mller (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:45: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:42: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:42: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:09: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:44: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:09: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:24: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`ver-liŠsen @stv2b	ùver-liŠsen	#stv2b pV	^-	~ver-lor<e>n	\verlorn .(.)	_IIIú1úP_PrMi-014v,11{427}.01	ø	:/\[šberlieferung setzt erst hier ein]	³v=v³e=e³r=r³=-³l=l³o=o³r=r³=e³n=n³
`d‰r @art	ùd‰r	#art	^ASn	~dazz	\D az	_IIIú1úP_PrMi-014v,11{427}.02	ø	:	³d=d³a=a³z=zz³
`s‰lb @pron	ùs‰lb	#pron	^ASnw%	~s‰lbe	\$elb e	_IIIú1úP_PrMi-014v,11{427}.03	ø	:	³s=s³e=‰³l=l³b=b³e=e³
`spr‰chen @stv4	ùspr‰chen	#stv4	^3SGI	~sprichet	\$pr¡chet	_IIIú1úP_PrMi-014v,11{427}.04	ø	:	³s=s³p=p³r=r³i=i³ch=ch³e=e³t=t³
`unser @pron_poss	ùunser	#pron_poss	^0NSm	~unser	\vn$er	_IIIú1úP_PrMi-014v,11{427}.05	ø	:	³v=u³n=n³s=s³e=e³r=r³
`hˆrre @m	ùhˆrre	#m	^NS	~hˆrre	\herre	_IIIú1úP_PrMi-014v,11{427}.06	ø	:	³h=h³e=ˆ³rr=rr³e=e³
`got @m	ùgot	#m	^NS	~got	\g“t.	_IIIú1úP_PrMi-014v,11{427}.07	ø	:	³g=g³“=o³t=t³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_IIIú1úP_PrMi-014v,11{427}.08	ø	:	³a=a³n=n³=e³
`d‰r @art	ùd‰r	#art	^DSn	~d‰me	\d ˆme	_IIIú1úP_PrMi-014v,11{427}.09	ø	:	³d=d³ˆ=‰³m=m³e=e³
`[!] @[!]	ùevangelium*	#n	^DS	~evangelio	\ew\a\-gl¡o.(:)	_IIIú1úP_PrMi-014v,11{427}.10@	ø	:	³ew\a\-glio=[!]³
`ƒmen @interj	ùƒmen*	#interj	^	~ƒmen	\"Am\-	_IIIú1úP_PrMi-014v,12{427}.01	ø	:	³a=ƒ³m=m³\-=en³
`[!] @[!]	ùdicere*	#[!]	^	~!	\d¡co	_IIIú1úP_PrMi-014v,12{427}.02	ø	:	³dico=[!]³
`[!] @[!]	ùvos*	#[!]	^	~!	\vobis	_IIIú1úP_PrMi-014v,12{427}.03	ø	:	³vobis=[!]³
`[!] @[!]	ùrecipere*	#[!]	^	~!	\receperunt	_IIIú1úP_PrMi-014v,12{427}.04	ø	:	³receperunt=[!]³
`[!] @[!]	ùin*	#[!]	^	~!	\in	_IIIú1úP_PrMi-014v,12{427}.05	ø	:	³in=[!]³
`[!] @[!]	ùcaedes*	#[!]	^	~!	\cedem	_IIIú1úP_PrMi-014v,12{427}.06	ø	:	³cedem=[!]³
`[!] @[!]	ùsuus*	#[!]	^	~!	\suam.(.)"	_IIIú1úP_PrMi-014v,12{427}.07	ø	:	³suam=[!]³
`ze @pr„p	ùze	#pr„p	^	~z<e>	\Z|	_IIIú1úP_PrMi-014v,12{427}.08	ø	:	³z=z³=e³
`wƒr @n	ùwƒr	#n	^DS	~wƒre	\|wƒre	_IIIú1úP_PrMi-014v,12{427}.09	ø	:	³w=w³ƒ=ƒ³r=r³e=e³
`qu‰den @stv5	ùqu‰den	#stv5	^3SGI	~quŒ{ide}t	\kv\^t	_IIIú1úP_PrMi-014v,12{427}.10	ø	:	³k=qu³v\^=Œ{ide}³t=t³
`‰r @pron	ù‰r	#pron	^NSm	~‰r	\er.(:)	_IIIú1úP_PrMi-014v,12{427}.11	ø	:	³e=‰³r=r³
`‰r @pron	ù‰r	#pron	^NPmfn	~siŠ	\$Œe	_IIIú1úP_PrMi-014v,12{427}.12	ø	:	³s=s³Œe=iŠ³
