+H
1) Allgemeine Informationen
ID	M112
Strukturschlssel
Texttitel	Die Hochzeit
Textkrzel
a) ReM	Hchz
b) MWB	Hochz
c) MiGraKo-intern	III-1-V_Hchz
Textbereich	Religion, Poesie
Textsorte, spezifisch	allegorische Dichtung
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Klagenfurt, Landesarchiv
Signatur	Cod. GV 6/19
Handschriftencensus	http://www.handschriftencensus.de/1481
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 142r-154v
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch
Sprachlandschaft	bairisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	12,2-13,1
Zeit (genauere Datierung)	um 1200 / 13/A
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	12/2D
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	Werner Schr”der (Hg.), Kleinere deutsche Gedichte des 11. und 12. Jahrhunderts. Nach der Auswahl von Albert Waag (Altdeutsche Textbibliothek 72), Tbingen 1972, S. 112-170.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Dany-Sophie Klukas (Halle)
Bearbeiter: Kollationierung	Heike Link, Aletta Leipold, Hans-Joachim Solms (Halle)
Bearbeiter: Pr„editierung	Elke Weber (Bonn)
Bearbeiter: Annotierung	Elke Weber (Bonn)
Bearbeiter: Korrektur	Thomas Klein, Stefan Mller (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:42: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:43: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:09: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:45: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:10: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:24: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`n– @adv/konj	ùn–	#adv	^	~n–	\*{N*}v	_IIIú1úV_Hchz-0001{142r,04}.01	ø	:	³n=n³v=–³
`mgen @anv	ùmgen	#anv	^2PG	~mgent	\mugent	_IIIú1úV_Hchz-0001{142r,04}.02	ø	:	³m=m³u=³g=g³e=e³n=n³t=t³
`ir @pron	ùir	#pron	^NP	~ir	\ir	_IIIú1úV_Hchz-0001{142r,04}.03	ø	:	³i=i³r=r³
`hoŠren @swv	ùhoŠren	#swv i	^-	~hoŠren	\horen	_IIIú1úV_Hchz-0001{142r,04}.04	ø	:	³h=h³o=oŠ³r=r³e=e³n=n³
`zŠl(e)n @swv	ùzŠl(e)n	#swv i	^-	~zŠllen	\zellen	_IIIú1úV_Hchz-0001{142r,04}.05@	ø	:	³z=z³e=Š³ll=ll³e=e³n=n³
`von @pr„p	ùvon	#pr„p	^	~von	\uon	_IIIú1úV_Hchz-0002{142r,04}.01	ø	:	³u=v³o=o³n=n³
`Šin @art	ùŠin	#art	^DSn	~Šinem	\ein em	_IIIú1úV_Hchz-0002{142r,04}.02	ø	:	³ei=Ši³n=n³e=e³m=m³
`hˆr(e) @adj	ùhˆr(e)	#adj	^DSnw	~hˆren	\her e n	_IIIú1úV_Hchz-0002{142r,04}.03	ø	:	³h=h³e=ˆ³r=r³e=e³n=n³
`sp‰ll @n	ùsp‰ll	#n	^DS	~sp‰lle	\$pelle.	_IIIú1úV_Hchz-0002{142r,05}.04@	ø	:	³s=s³p=p³e=‰³ll=ll³e=e³
`umbe @pr„p	ùumbe	#pr„p	^	~umbe	\umbe	_IIIú1úV_Hchz-0003{142r,05}.01	ø	:	³u=u³m=m³b=b³e=e³
`Šin @art	ùŠin	#art	^ASm	~Šinen	\ein en	_IIIú1úV_Hchz-0003{142r,05}.02	ø	:	³ei=Ši³n=n³e=e³n=n³
`kni(n)g @m	ùkni(n)g	#m	^AS	~kni<n>g	\chunich	_IIIú1úV_Hchz-0003{142r,05}.03	ø	:	³ch=k³u=³n=n³i=i³=n³ch=g³
`rŒche @adj	ùrŒche	#adj	^ASmø	~rŒchen	\rich e n.,	_IIIú1úV_Hchz-0003{142r,05}.04@	ø	:	³r=r³i=Œ³ch=ch³e=e³n=n³
`umbe @pr„p	ùumbe	#pr„p	^	~umbe	\umbe	_IIIú1úV_Hchz-0004{142r,05}.01	ø	:	³u=u³m=m³b=b³e=e³
`manig @pron	ùmanig	#pron	^0ASn	~manig	\manich	_IIIú1úV_Hchz-0004{142r,06}.02	ø	:	³m=m³a=a³n=n³i=i³ch=g³
`schoŠne @adj	ùschoŠne	#adj	^ASnw!	~schoŠne	\$chon e 	_IIIú1úV_Hchz-0004{142r,06}.03	ø	:	³sch=sch³o=oŠ³n=n³e=e³
`zŠichen @n	ùzŠichen	#n	^AS	~zŠichen	\zeichen.,,	_IIIú1úV_Hchz-0004{142r,06}.04@	ø	:	³z=z³ei=Ši³ch=ch³e=e³n=n³
`dƒr @adv	ùdƒr/.+ane	#adv	^	~dƒ	\da	_IIIú1úV_Hchz-0005{142r,06}.01	ø	:	³d=d³a=ƒ³
`michel @adj	ùmichel	#adj	^0NSm	~michel	\michil 	_IIIú1úV_Hchz-0005{142r,06}.02	ø	:	³m=m³i=i³ch=ch³i=e³l=l³
`sinn @m	ùsinn	#m	^NS	~sinn	\$in	_IIIú1úV_Hchz-0005{142r,06}.03	ø	:	³s=s³i=i³n=nn³
`ane @adv	ùane/dƒr.+	#adv	^	~an<e>	\an	_IIIú1úV_Hchz-0005{142r,06}.04	ø	:	³a=a³n=n³=e³
