+H
1) Allgemeine Informationen
ID	M341
Strukturschlssel
Texttitel	Gottfried von Straáburg: Tristan (f1/f + m)
Textkrzel
a) ReM	TriF
b) MWB	Tr (M)
c) MiGraKo-intern	III-3-V_TriF
Textbereich	Poesie
Textsorte, spezifisch	h”fischer Roman
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift [Folio+Seite+Spalte+Zeile]
2) šberlieferungstr„ger
Aufbewahrungsort	[a] Augsburg, Staats- und Stadtbibl.; [b] K”ln, Hist. Archiv der Stadt
Signatur	[a] Fragm. germ. 31; [b] Best. 7050 (Hss.-Fragm.) A 44
Handschriftencensus	http://www.handschriftencensus.de/1056
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	2 Doppelbl„tter
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	westoberdeutsch
Sprachlandschaft	westalemannisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,1-13,2
Zeit (genauere Datierung)	13,M
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	ca. 1200-1210
Lokalisierung_Text
Autor
Sprache des Autors	s. III-0-V3
šbersetzungsvorlage
Edition	[f1] Ren‚ Wetzel, Die handschriftliche šberlieferung des 'Tristan' Gottfrieds von Straáburg. Untersucht an ihren Fragmenten (Germanistica Friburgensia 13), Freiburg/Schweiz 1992, S.  404-411; [m] John L. Campion, Ein Tristanfragment, in: Modern Philology 16 (1918/19), S. 89-97; krit. Text: Karl Marold (Hg.), Gottfried von Straáburg, Tristan. Dritter Abdruck mit einem durch F. Rankes Kollationen erweiterten und verbesserten Apparat besorgt und mit einem Nachwort versehen von Werner Schr”der, Berlin 1969
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Astrid Mischke (Bonn)
Bearbeiter: Annotierung	Susanne Strubel-Burgdorf (Bonn)
Bearbeiter: Korrektur	Stefan Mller, Susanne Hahn (Bonn)
05/16/16 16:45:55: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:43: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:43: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:09: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:46: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:14: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:25: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`unte @konj	ùunte	#konj	^	~unt<e>	\"[[und]]	_IIIú3úV_TriF-10613{m-1ra,01}.01	ø	:	*³[und]=[unte]³
`vinden @stv3a	ùvinden	#stv3a	^1SVI	~vand	\[[vant]]	_IIIú3úV_TriF-10613{m-1ra,01}.02	ø	:	*³[vant]=[vand]³
`d“ @adv/konj	ùd“	#adv	^	~d“	\[[d“]]	_IIIú3úV_TriF-10613{m-1ra,01}.03	ø	:	*³[d“]=[d“]³
`mit @pr„p	ùmit	#pr„p	^	~mit	\[[mit]]	_IIIú3úV_TriF-10613{m-1ra,01}.04	ø	:	*³[mit]=[mit]³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\[[d en]]	_IIIú3úV_TriF-10613{m-1ra,01}.05	ø	:	*³[den]=[d‰n]³
`buoch-stab(e) @m	ùbuoch-stab(e)	#m	^DP	~buoch-staben	\[[buochstaben]],,	_IIIú3úV_TriF-10613{m-1ra,01}.06@	ø	:	*³[buochstaben]=[buoch-staben]³
`d‰r @pron	ùd‰r	#pron	^APm+	~diŠ	\d ie	_IIIú3úV_TriF-10614{m-1ra,01}.01	ø	:	³d=d³ie=iŠ³
`man @pron_subst	ùman	#pron_subst	^NS	~man	\man	_IIIú3úV_TriF-10614{m-1ra,01}.02	ø	:	³m=m³a=a³n=n³
`ze @pr„p	ùze	#pr„p	^	~ze	\ze	_IIIú3úV_TriF-10614{m-1ra,01}.03	ø	:	³z=z³e=e³
`bŠide @num	ùbŠide	#num	^DP	~bŠiden	\beid en	_IIIú3úV_TriF-10614{m-1ra,01}.04	ø	:	³b=b³ei=Ši³d=d³e=e³n=n³
`name @m	ùname	#m	^DP	~namen	\namen	_IIIú3úV_TriF-10614{m-1ra,01}.05	ø	:	³n=n³a=a³m=m³e=e³n=n³
`sol(e)n @anv	ùsol(e)n	#anv	^3SGI	~sol	\$ol	_IIIú3úV_TriF-10614{m-1ra,01}.06	ø	:	³s=s³o=o³l=l³
`haben @swv-a	ùhaben	#swv-a i	^-	~haben	\haben.,,	_IIIú3úV_TriF-10614{m-1ra,01}.07@	ø	:	³h=h³a=a³b=b³e=e³n=n³
`dazz @konj	ùdazz	#konj	^	~dazz	\dc	_IIIú3úV_TriF-10615{m-1ra,02}.01	ø	:	³d=d³c=azz³
`‰r @pron	ù‰r	#pron	^NSn	~‰zz	\ez	_IIIú3úV_TriF-10615{m-1ra,02}.02	ø	:	³e=‰³z=zz³
`all @pron	ùall	#pron	^NSn%&	~allezz	\all ez	_IIIú3úV_TriF-10615{m-1ra,02}.03	ø	:	³a=a³ll=ll³e=e³z=zz³
`Šin @num	ùŠin	#num	^0NSn%	~Šin	\ein	_IIIú3úV_TriF-10615{m-1ra,02}.04	ø	:	³ei=Ši³n=n³
`w‰sen @stv5	ùw‰sen	#stv5	^3SVI	~was	\waz.(:)	_IIIú3úV_TriF-10615{m-1ra,02}.05@	ø	:	³w=w³a=a³z=s³
`wante @konj	ùwante	#konj	^	~wan<te>	\wa\-	_IIIú3úV_TriF-10616{m-1ra,03}.01	ø	:	³w=w³a=a³\-=n³=te³
`sw‰der-halb(en) @adv	ùsw‰der-halb(en)	#adv	^	~sw‰der-halben	\$wed'halben	_IIIú3úV_TriF-10616{m-1ra,03}.02	ø	:	³s=s³w=w³e=‰³d=d³'=er³=-³h=h³a=a³l=l³b=b³e=e³n=n³
`ich @pron	ùich	#pron	^NS	~ich	\ich	_IIIú3úV_TriF-10616{m-1ra,03}.03	ø	:	³i=i³ch=ch³
`hin(e) @adv	ùhin(e)	#adv	^	~hin	\hin	_IIIú3úV_TriF-10616{m-1ra,03}.04	ø	:	³h=h³i=i³n=n³
