+H
1) Allgemeine Informationen
ID	M232
Strukturschlssel
Texttitel	Niederrheinischer Tundalus
Textkrzel
a) ReM	RhTun
b) MWB	TundN
c) MiGraKo-intern	III-4-V_RhTun
Textbereich	Religion, Poesie
Textsorte, spezifisch	Heiligenlegende
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Krakau, Bibl. Jagiellon\ïska
Signatur	Berol. mgq 642
Handschriftencensus	http://www.handschriftencensus.de/1558
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	3 Doppelbl„tter
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	mittelfr„nkisch, hessisch
Lokalisierung	Nassau? Kloster Eberbach oder Umfeld?
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,1
Zeit (genauere Datierung)	13,1V
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	12,4V
Lokalisierung_Text
Autor
Sprache des Autors	mfrk. (Palmer 1989a, 127)
šbersetzungsvorlage
Edition	Carl Kraus (Hg.), Deutsche Gedichte des zw”lften Jahrhunderts, Halle 1894, S. 46-62, 217-220.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Erika Schr”ppel (IgL, Bonn)
Bearbeiter: Kollationierung	Tobias A. Kemper, Bernd Krause (Bonn)
Bearbeiter: Pr„editierung	Tobias A. Kemper (Bonn)
Bearbeiter: Annotierung	Tobias A. Kemper (Bonn)
Bearbeiter: Korrektur	Thomas Klein, Stefan Mller (Bonn)
05/16/16 16:45:56: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:43: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:43: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:10: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:46: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:16: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:25: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`w‰r @pron	ùw‰r	#pron	^ASn	~wazz	\[V az]	_IIIú4úV_RhTun-001{1r,01}.01	ø	:/R	*³[vaz]=[wazz]³
`[!] @[!]	ùTundalus	#PN	^NS	~Tundalus	\[tund]alu<s>	_IIIú4úV_RhTun-001{1r,01}.02	ø	:/R	*³[t]=t³[u]=u³[n]=n³[d]=d³a=a³l=l³u=u³s=s³
`haben @swv-a	ùhaben	#swv-a	^3SGI	~hƒt	\<hat>	_IIIú4úV_RhTun-001{1r,01}.03	ø	:/R	³h=h³a=ƒ³t=t³
`s‰hen @stv5	ùs‰hen	#stv5 pV	^-	~ge-siŠ{‰he}n	\g[e$in] (.)	_IIIú4úV_RhTun-001{1r,01}.04	ø	:/K[[Vaz] [tund]alu<s> <hat> g[e$in]: hinter {Gode$wnder}]/R	³g=g³[e]=e³=-³[s]=s³[i]=iŠ{‰he}³[n]=n³
`got @m	ùgot	#m	^GS	~gotes	\*(G*)ode$	_IIIú4úV_RhTun-001{1r,01}.05	ø	:	³g=g³o=o³d=t³e=e³s=s³
`wunter @n	ùwunter	#n	^NP	~wunter	\wnder	_IIIú4úV_RhTun-001{1r,01}.06	ø	:	³w=wu³n=n³d=t³e=e³r=r³
`sŒn @anv	ùsŒn	#anv	^3PGI	~sint	\$int	_IIIú4úV_RhTun-001{1r,02}.07	ø	:	³s=s³i=i³n=n³t=t³
`manig-valt @adj	ùmanig-valt	#adj	^-	~manig-valt	\manicfalt [.],,	_IIIú4úV_RhTun-001{1r,02}.08@	ø	:	³m=m³a=a³n=n³i=i³c=g³=-³f=v³a=a³l=l³t=t³
`d‰r @pron	ùd‰r	#pron	^APn+	~di	\D i	_IIIú4úV_RhTun-002{1r,02}.01	ø	:	³d=d³i=i³
`‰r @pron	ù‰r	#pron	^NSm	~‰r	\er	_IIIú4úV_RhTun-002{1r,02}.02	ø	:	³e=‰³r=r³
`wŒten(e) @adv	ùwŒten(e)	#adv	^	~wŒten(e)	\uvidene	_IIIú4úV_RhTun-002{1r,02}.03	ø	:	³uv=w³i=Œ³d=t³e=e³n=n³e=e³
`haben @swv-a	ùhaben	#swv-a	^3SGI	~hƒt	\hat	_IIIú4úV_RhTun-002{1r,02}.04	ø	:	³h=h³a=ƒ³t=t³
`stŠllen @swv	ùstŠllen	#swv pV	^-	~ge-stalt	\ge$t<alt> [.]	_IIIú4úV_RhTun-002{1r,02}.05@	ø	:	³g=g³e=e³=-³s=s³t=t³a=a³l=l³t=t³
`mit @pr„p	ùmit	#pr„p	^	~mit	\Bit	_IIIú4úV_RhTun-003{1r,03}.01	ø	:	³b=m³i=i³t=t³
`sŒn @pron_poss	ùsŒn	#pron_poss	^DSf	~sŒner	\$in er	_IIIú4úV_RhTun-003{1r,03}.02	ø	:	³s=s³i=Œ³n=n³e=e³r=r³
`gr“z @adj	ùgr“z	#adj	^DSf!	~gr“zer	\groz er	_IIIú4úV_RhTun-003{1r,03}.03	ø	:/^[nach {$iner}]	³g=g³r=r³o=“³z=z³e=e³r=r³
`kraft @f<u>	ùkraft	#f<u>	^DS	~krŠfte	\crefte.(.)	_IIIú4úV_RhTun-003{1r,03}.04@	ø	:	³c=k³r=r³e=Š³f=f³t=t³e=e³
