+H
1) Allgemeine Informationen
ID	M330
Strukturschlssel
Texttitel	Mitteldeutsche Predigten (K)
Textkrzel
a) ReM	PrMK
b) MWB	PrMd (J)
c) MiGraKo-intern	III-5-P_PrMK
Textbereich	Religion
Textsorte, spezifisch	Predigt
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz
2) šberlieferungstr„ger
Aufbewahrungsort	Berlin, Staatsbibl.
Signatur	Fragm. 55
Handschriftencensus	http://www.handschriftencensus.de/1333
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	3 Doppelbl„tter + Reste eines weiteren Blattes
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	ostmitteldeutsch, westmitteldeutsch
Sprachlandschaft	hessisch-thringisch?
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,1-13,2
Zeit (genauere Datierung)	13,M
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	um 1200 / 13,1V
Lokalisierung_Text
Autor
Sprache des Autors	vermutl. wmd. (rhfrk.-hess.?)
šbersetzungsvorlage
Edition	Adalbert Jeitteles, Mitteldeutsche Predigten, Germania 17 (1872), S. 335-354
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Elfriede D”ring, Tobias A. Kemper (Bonn)
Bearbeiter: Kollationierung	Barbara Lenz-Kemper, Tobias A. Kemper (Bonn)
Bearbeiter: Pr„editierung	Barbara Lenz-Kemper, Tobias A. Kemper (Bonn)
Bearbeiter: Annotierung	Tobias A. Kemper (Bonn)
Bearbeiter: Korrektur	Barbara Lenz-Kemper, Tobias A. Kemper (Bonn)
05/16/16 16:45:56: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:43: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:43: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:10: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:46: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:16: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:25: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`be-g‰ben @stv5	ùbe-g‰ben	#stv5	^1PG	~be-g‰<be>n	\<begen>	_IIIú5úP_PrMK-1r,14.01	ø	:	³b=b³e=e³=-³g=g³e=‰³=b³=e³n=n³
`all @pron	ùall	#pron	^GP	~aller	\[[all er]]	_IIIú5úP_PrMK-1r,14.02	ø	:	*³[aller]=[aller]³
`hŠilig @adj	ùhŠilig	#adj	^GPw%	~hŠiligen	\[[heilig en]]	_IIIú5úP_PrMK-1r,14.03	ø	:	*³[heiligen]=[hŠiligen]³
`h“h-zŒt @fn	ùh“h-zŒt	#f	^AS	~h“h-zŒt	\[[hochzit]],,	_IIIú5úP_PrMK-1r,14.04	ø	:	*³[hochzit]=[h“h-zŒt]³
`s“ @adv/konj	ùs“	#adv	^	~s“	\[[$o]]	_IIIú5úP_PrMK-1r,14.05	ø	:	*³[so]=[s“]³
`sol(e)n @anv	ùsol(e)n	#anv	^1PG	~sul(e)<n>	\[[$ule]]	_IIIú5úP_PrMK-1r,14.06	ø	:	³[sule]=[sulen]³
`wir @pron	ùwir	#pron	^NP	~wir	\[wir]	_IIIú5úP_PrMK-1r,14.07	ø	:	*³[wir]=[wir]³
`hiute @adv	ùhiute	#adv	^	~hiute	\<hute>	_IIIú5úP_PrMK-1r,14.08	ø	:	³h=h³u=iu³t=t³e=e³
`zuo @adv	ùzuo	#adv	^	~zuo	\[[zu]]	_IIIú5úP_PrMK-1r,14.09	ø	:	*³[zu]=[zuo]³
`aller-vorder(e)ste @adv sup	ùaller-vorder(e)ste	#adv sup	^	~aller-vorder<e>st	\[[aller]]#[[vordir$t]]	_IIIú5úP_PrMK-1r,14.10	ø	:	³[allervordirst]=[aller-vorderest]³
`loben @swv	ùloben	#swv i	^-	~loben	\<lobin>	_IIIú5úP_PrMK-1r,14.11	ø	:	³l=l³o=o³b=b³i=e³n=n³
`unte @konj	ùunte	#konj	^	~unte	\<vn\->	_IIIú5úP_PrMK-1r,14.12@	ø	:	³v=u³n\-=nte³
`ˆren @swv	ùˆren	#swv i	^-	~ˆren	\erin	_IIIú5úP_PrMK-1r,15.01	ø	:	³e=ˆ³r=r³i=e³n=n³
`d‰r @pron	ùd‰r	#pron	^ASm	~d‰n	\d en.,,	_IIIú5úP_PrMK-1r,15.02	ø	:	³d=d³e=‰³n=n³
`[!] @[!]	ùqui*	#[!]	^	~qui	\q\i	_IIIú5úP_PrMK-1r,15.03	ø	:	³q\i=qui³
`[!] @[!]	ùesse*	#[!]	^	~est	\e\-	_IIIú5úP_PrMK-1r,15.04	ø	:	³e\-=est³
`[!] @[!]	ùsanctus*	#[!]	^	~sanctus	\$c\-s	_IIIú5úP_PrMK-1r,15.05	ø	:	*³sc\-s=sanctus³
`[!] @[!]	ùsanctus*	#[!]	^	~sanctorum	\sco\-4.,	_IIIú5úP_PrMK-1r,15.06	ø	:	*³sco\-4=sanctorum³
`[!] @[!]	ùrex*	#[!]	^	~rex	\rex	_IIIú5úP_PrMK-1r,15.07	ø	:	³r=r³e=e³x=x³
`[!] @[!]	ùrex*	#[!]	^	~regum	\regu\-	_IIIú5úP_PrMK-1r,15.08	ø	:	³r=r³e=e³g=g³u=u³\-=m³
`[!] @[!]	ùet*	#[!]	^	~et	\7	_IIIú5úP_PrMK-1r,15.09	ø	:	³7=et³
