+H
1) Allgemeine Informationen
ID	M302
Strukturschlssel
Texttitel	Bartholom„us (M1)
Textkrzel
a) ReM	Bart
b) MWB	Barth
c) MiGraKo-intern	IV-1-P_Bart
Textbereich	Wissen(-schaft)
Textsorte, spezifisch	Arzneibuch
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz	Edition
2) šberlieferungstr„ger
Aufbewahrungsort	Mnchen, Staatsbibl.
Signatur	Cgm 92, Bl. 1-20
Handschriftencensus	http://www.handschriftencensus.de/1463
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 1ra-18v
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch
Sprachlandschaft	bairisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,2
Zeit (genauere Datierung)	13,3V (bald nach 1250)
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	12,E (VL 1, 609)
Lokalisierung_Text
Autor
Sprache des Autors	Entstanden im md. Raum, šberlieferungsschwerpunkt im ”stl. dt. Sprachraum (VL 1, 609,612)
šbersetzungsvorlage
Edition	Franz Pfeiffer, Zwei deutsche Arzneibcher aus dem 12. und 13. Jahrhundert, in: Sitzungsberichte der phil.-hist. Classe der kaiserl. Akademie der Wissenschaften, Bd. 42, Wien 1863, S. 110-200, hier S. 114f., 127-159.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Monika Schindler (Bonn)
Bearbeiter: Annotierung	Monika Schindler (Bonn)
Bearbeiter: Korrektur	Elke Weber, Stefan Mller (Bonn)
05/16/16 16:45:56: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:43: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:44: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:10: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:47: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:27: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:34: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:26: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`dise @pron	ùdise	#pron	^ASn	~ditze	\*{D*}#itze	_IVú1úP_Bart-01ra,01{127}.01	ø	:	³d=d³i=i³tz=tz³e=e³
`buoch @n	ùbuoch	#n	^AS	~buoch	\buch	_IVú1úP_Bart-01ra,01{127}.02	ø	:	³b=b³u=uo³ch=ch³
`tihten @swv	ùtihten	#swv	^3SV	~tih<te>te	\dihte	_IVú1úP_Bart-01ra,01{127}.03	ø	:	³d=t³i=i³h=h³=te³t=t³e=e³
`Šin @art	ùŠin	#art	^0NSm	~Šin	\ein	_IVú1úP_Bart-01ra,01{127}.04	ø	:	³ei=Ši³n=n³
`mŠister @m	ùmŠister	#m	^NS	~mŠister	\me¡$ter,,	_IVú1úP_Bart-01ra,01{127}.05@	ø	:	³m=m³ei=Ši³s=s³t=t³e=e³r=r³
`d‰r @pron	ùd‰r	#pron	^NSm	~d‰r	\d '	_IVú1úP_Bart-01ra,02{127}.01	ø	:	³d=d³'=‰r³
`hŠizen @stv7	ùhŠizen	#stv7	^3SVI	~hiŠz	\hiez	_IVú1úP_Bart-01ra,02{127}.02	ø	:	³h=h³ie=iŠ³z=z³
`Bartholomeus* @PN	ùBartholomeus	#PN	^NS	~Bartholomeus	\Bartholone%9.(.)	_IVú1úP_Bart-01ra,02{127}.03	ø	:	*³Bartholone%9=Bartholomeus³
`d‰r @pron	ùd‰r	#pron	^ASn	~dazz	\d az	_IVú1úP_Bart-01ra,02{127}.04	ø	:	³d=d³a=a³z=zz³
`n‰men @stv4	ùn‰men	#stv4	^3SVI	~nam	\nam	_IVú1úP_Bart-01ra,02{127}.05@	ø	:	³n=n³a=a³m=m³
`‰r @pron	ù‰r	#pron	^NSm	~‰r	\er	_IVú1úP_Bart-01ra,03{127}.01	ø	:	³e=‰³r=r³
`ze @pr„p	ùze	#pr„p	^	~ze	\ze|	_IVú1úP_Bart-01ra,03{127}.02	ø	:	³z=z³e=e³
`KriŠchen @ON	ùKriŠchen	#ON	^DS	~KriŠchen	\|chr¡<c>hen.	_IVú1úP_Bart-01ra,03{127}.03	ø	:/#[oder: KriŠche m Dat.Pl.]	³ch=k³r=r³i=iŠ³ch=ch³e=e³n=n³
`–z @pr„p	ù–z	#pr„p	^	~–z	\vz	_IVú1úP_Bart-01ra,03{127}.04	ø	:	³v=–³z=z³
`Šin @art	ùŠin	#art	^DSn	~Šinem	\ein e\-	_IVú1úP_Bart-01ra,03{127}.05	ø	:	³ei=Ši³n=n³e=e³\-=m³
`buoch @n	ùbuoch	#n	^DS	~buoche	\bvche,,	_IVú1úP_Bart-01ra,03{127}.06	ø	:	³b=b³v=uo³ch=ch³e=e³
`d‰r @pron	ùd‰r	#pron	^NSn	~dazz	\d az	_IVú1úP_Bart-01ra,03{127}.07@	ø	:	³d=d³a=a³z=zz³
`hŠizen @stv7	ùhŠizen	#stv7	^3SGI	~hŠizet	\haizet	_IVú1úP_Bart-01ra,04{127}.01	ø	:	³h=h³ai=Ši³z=z³e=e³t=t³
`[!] @[!]	ùpractica*	#[!]	^	~[!]	\practica.(.)	_IVú1úP_Bart-01ra,04{127}.02	ø	:	*³practica=[!]³
`d‰r @pron	ùd‰r	#pron	^NSn	~dazz	\d az	_IVú1úP_Bart-01ra,04{127}.03	ø	:	³d=d³a=a³z=zz³
