+H
1) Allgemeine Informationen
ID	M304
Strukturschlssel
Texttitel	Dietrichs Flucht (R)
Textkrzel
a) ReM	Diet
b) MWB	Dietr
c) MiGraKo-intern	IV-1-V_Diet
Textbereich	Poesie
Textsorte, spezifisch	Heldenepik
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Berlin, Staatsbibl. [Riedegger Hs.]
Signatur	mgf 1062
Handschriftencensus	http://www.handschriftencensus.de/1222
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 63r-102v
Ausschnitt	"vv. 2328a-3174 (Bl. 63ra,1-67rb,48); 5691-6556 (80va,15-85ra,16); 9233-10004 (97vb,47-102ra,4). - nur pr„editiert: 10005{102ra,05}-10152{102vb,04}"
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	ostoberdeutsch
Sprachlandschaft	bairisch
Lokalisierung	(wohl aus Nieder”sterr.)
Zeit (Jahrhundert, Jahrhunderth„lfte)	13,2-14,1
Zeit (genauere Datierung)	um 1300
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	ca. 1220-1300
Lokalisierung_Text
Autor
Sprache des Autors	 ™sterreich (VL 1, 619)
šbersetzungsvorlage
Edition	"Ernst Martin (Hg.), Alpharts Tod. Dietrichs Flucht. Rabenschlacht, Berlin 1866; Elisabeth Lienert und Gertrud Beck (Hg.), Dietrichs Flucht. Textgeschichtliche Ausgabe (Texte und Studien zur mittelhochdeutschen Heldenepik 1), Tbingen 2003"
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation	nur pr„editiert: 10005{102ra,05}-10152{102vb,04}
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Bernd Krause (Bonn)
Bearbeiter: Annotierung	Kathrin Chlench (Bonn)
Bearbeiter: Korrektur	Wiebke Wolf, Tobias A. Kemper (Bonn)
05/16/16 16:45:56: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:43: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:44: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:10: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:47: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:28: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:34: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:26: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`wŠllen @anv	ùwŠllen	#anv	^2PGI	~wŠll<e>t	\*{W*}elt	_IVú1úV_Diet-02328a{63ra,01}.01	ø	:	³w=w³e=Š³l=ll³=e³t=t³
`ir @pron	ùir	#pron	^NP	~ir	\ir	_IVú1úV_Diet-02328a{63ra,01}.02	ø	:	³i=i³r=r³
`dƒr @adv	ùdƒr/+zuo	#adv	^	~dƒr	\dar	_IVú1úV_Diet-02328a{63ra,01}.03	ø	:	³d=d³a=ƒ³r=r³
`zuo @adv	ùzuo/dƒr+	#adv	^	~zuo	\zv	_IVú1úV_Diet-02328a{63ra,01}.04	ø	:	³z=z³v=uo³
`stille @adv	ùstille	#adv	^	~stille	\$tille	_IVú1úV_Diet-02328a{63ra,01}.05	ø	:	³s=s³t=t³i=i³ll=ll³e=e³
`dagen @swv	ùdagen	#swv i	^-	~dagen	\dagen.,,	_IVú1úV_Diet-02328a{63ra,01}.06@	ø	:	³d=d³a=a³g=g³e=e³n=n³
`s“ @adv/konj	ùs“	#adv	^	~s“	\$o	_IVú1úV_Diet-02328b{63ra,02}.01	ø	:	³s=s³o=“³
`wŠllen @anv	ùwŠllen	#anv	^1SGI	~wil<e>	\wil	_IVú1úV_Diet-02328b{63ra,02}.02	ø	:	³w=w³i=i³l=l³=e³
`ich @pron	ùich	#pron	^NS	~ich	\ich	_IVú1úV_Diet-02328b{63ra,02}.03	ø	:	³i=i³ch=ch³
`ir @pron	ùir	#pron	^DP	~iu	\iv	_IVú1úV_Diet-02328b{63ra,02}.04	ø	:	³iv=iu³
`kurz-lŒche @adv	ùkurz-lŒche	#adv	^	~kurz-lŒch<e>	\chvrzlich	_IVú1úV_Diet-02328b{63ra,02}.05	ø	:	³ch=k³v=u³r=r³z=z³=-³l=l³i=Œ³ch=ch³=e³
`sagen @swv-a	ùsagen	#swv-a i	^-	~sagen	\$agen.,,	_IVú1úV_Diet-02328b{63ra,02}.06@	ø	:	³s=s³a=a³g=g³e=e³n=n³
`d“ @adv/konj	ùd“	#konj	^	~d“	\do	_IVú1úV_Diet-02328c{63ra,03}.01	ø	:	³d=d³o=“³
`d‰r @art	ùd‰r	#art	^NSm	~d‰r	\d er	_IVú1úV_Diet-02328c{63ra,03}.02	ø	:	³d=d³e=‰³r=r³
`wolv @m	ùwolv	#m	^NS	~wolf	\wolf,	_IVú1úV_Diet-02328c{63ra,03}.03	ø	:	³w=w³o=o³l=l³f=f³
`hˆrre @m	ùhˆrre	#m	^NS	~hˆrr<e>	\her	_IVú1úV_Diet-02328c{63ra,03}.04	ø	:	³h=h³e=ˆ³r=rr³=e³
`DiŠt(e)-rŒch @PN	ùDiŠt(e)-rŒch	#PN	^NS	~DiŠt-rŒch	\Dietrich,)	_IVú1úV_Diet-02328c{63ra,03}.05@	ø	:	³d=d³ie=iŠ³t=t³=-³r=r³i=Œ³ch=ch³
`ge-l‰ben @swv	ùge-l‰ben	#swv pV	^-	~ge-l‰b<e>t	\gelebt 	_IVú1úV_Diet-02328d{63ra,04}.01	ø	:	³g=g³e=e³=-³l=l³e=‰³b=b³=e³t=t³
`haben @swv-a	ùhaben	#swv-a	^3SV	~h‘t<e>	\het	_IVú1úV_Diet-02328d{63ra,04}.02	ø	:	³h=h³e=‘³t=t³=e³
`vil(e) @adv	ùvil(e)	#adv	^	~vil<e>	\vil	_IVú1úV_Diet-02328d{63ra,04}.03	ø	:	³v=v³i=i³l=l³=e³
`wnnig-lŒche @adv	ùwnnig-lŒche	#adv	^	~wnnig-lŒch<e>	\wunnechlich	_IVú1úV_Diet-02328d{63ra,04}.04@	ø	:	³w=w³u=³nn=nn³e=i³ch=g³=-³l=l³i=Œ³ch=ch³=e³
