+H
1) Allgemeine Informationen
ID	M322
Strukturschlssel
Texttitel	Nikolaus von Straáburg: Predigten (C)
Textkrzel
a) ReM	NikP
b) MWB	Pfeiffer, Dt. Myst. 1
c) MiGraKo-intern	V-3-P_NikP
Textbereich	Religion
Textsorte, spezifisch	Predigten
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz
2) šberlieferungstr„ger
Aufbewahrungsort	St. Florian, Stiftsbibl.
Signatur	Cod. XI 284
Handschriftencensus	http://www.handschriftencensus.de/2479
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 37r-84r
Ausschnitt	"Bl. 37ra,1-51vb,14; 72ra,1-85rb,3. - nur pr„editiert: 51vb,14-72ra,1"
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	oberdeutsch
sprachlicher Groáraum	westoberdeutsch
Sprachlandschaft	alemannisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,2
Zeit (genauere Datierung)	"""etwa ab Jahrhundertmitte bis in die 70er Jahre"" des 14. Jahrhunderts (Karin Schneider, brieflich)"
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	um 1330
Lokalisierung_Text
Autor
Sprache des Autors	 alem. (Freiburg?)
šbersetzungsvorlage
Edition	Franz Pfeiffer (Hg.), Deutsche Mystiker des 14. Jahrhunderts. Bd. 1: Hermann von Fritzlar, Nikolaus von Straáburg, David von Augsburg, Leipzig 1845, S. 259-305.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Susanne Strubel-Burgdorf (Bonn)
Bearbeiter: Annotierung	Susanne Strubel-Burgdorf (Bonn)
Bearbeiter: Korrektur	Elke Weber, Susanne Hahn (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:45: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:48: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:12: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:52: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:48: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:36: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:31: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`dise @pron	ùdise	#pron	^0NSn%	~dizz	\Dis	_Vú3úP_NikP-37ra,01.01	ø	:	³d=d³i=i³s=zz³
`sŒn @anv	ùsŒn	#anv	^3PGI	~sint	\$int	_Vú3úP_NikP-37ra,01.02	ø	:	³s=s³i=i³n=n³t=t³
`prŠdige @f	ùprŠdige	#f	^NP	~brŠdi<g>en	\bredien	_Vú3úP_NikP-37ra,01.03	ø	:	³b=b³r=r³e=Š³d=d³i=i³=g³e=e³n=n³
`bruoder @m<(u)>	ùbruoder	#m<(u)>	^GS	~bruoder<es>	\bru\oder	_Vú3úP_NikP-37ra,01.04	ø	:	³b=b³r=r³u\o=uo³d=d³e=e³r=r³=es³
`Nicolaus* @PN	ùNicolaus	#PN	^GS	~Niklaus	\Ni=claus	_Vú3úP_NikP-37ra,01.05@	ø	:	*³Niclaus=Niklaus³
`von @pr„p	ùvon	#pr„p	^	~von	\vo\-	_Vú3úP_NikP-37ra,02.01	ø	:	³v=v³o=o³\-=n³
`Strƒz-burg @ON	ùStrƒz-burg	#ON	^DS	~Strƒz-burg	\Strazburg,	_Vú3úP_NikP-37ra,02.02	ø	:	*³s=s³t=t³r=r³a=ƒ³z=z³=-³b=b³u=u³r=r³g=g³
`d‰r @art	ùd‰r	#art	^GSm	~d‰s	\d es	_Vú3úP_NikP-37ra,02.03@	ø	:	³d=d³e=‰³s=s³
`l‰se-mŠister @m	ùl‰se-mŠister	#m	^GS	~l‰s<e>-mŠister<e>s	\le$mei$ters	_Vú3úP_NikP-37ra,03.01	ø	:	³l=l³e=‰³s=s³=e³=-³m=m³ei=Ši³s=s³t=t³e=e³r=r³=e³s=s³
`prŠdig‘re-orden @m<(u)>	ùprŠdig‘re-orden	#m<(u)>	^NS	~brŠdi<g>er-orden<e>s	\bredier#ordens(.)	_Vú3úP_NikP-37ra,03.02@	ø	:/E[bredier#ordens(.): Die Zeilen 1 bis 3 werden nicht in der Edition aufgefhrt.]	³b=b³r=r³e=Š³d=d³i=i³=g³e=e³r=r³=-³o=o³r=r³d=d³e=e³n=n³=e³s=s³
`man @pron_subst	ùman	#pron_subst	^NS	~man	\*{W*}an	_Vú3úP_NikP-37ra,04{261}.01	ø	:/E[*{W*}an: Ed. l. {Man}]	³w=m³a=a³n=n³
`l‰sen @stv5	ùl‰sen	#stv5	^3SGI	~liset	\li$et	_Vú3úP_NikP-37ra,04{261}.02	ø	:	³l=l³i=i³s=s³e=e³t=t³
`hiute @adv	ùhiute	#adv	^	~hiute	\hu\itte	_Vú3úP_NikP-37ra,04{261}.03	ø	:	³h=h³u\i=iu³tt=t³e=e³
`Šin @art	ùŠin	#art	^0ASn	~Šin	\e¡n	_Vú3úP_NikP-37ra,04{261}.04@	ø	:	³ei=Ši³n=n³
`[!] @[!]	ùevangelium*	#[!]	^	~evangelium	\Ewangelium,,	_Vú3úP_NikP-37ra,05{261}.01	ø	:	³e=e³w=v³a=a³n=n³g=g³e=e³l=l³iu=iu³m=m³
`dazz @konj	ùdazz	#konj	^	~dazz	\dc	_Vú3úP_NikP-37ra,05{261}.02	ø	:	³d=d³c=azz³
`unser @pron_poss	ùunser	#pron_poss	^0NSm	~unser	\v\in=$er	_Vú3úP_NikP-37ra,05{261}.03@	ø	:	³v\i=u³n=n³s=s³e=e³r=r³
