+H
1) Allgemeine Informationen
ID	M407
Strukturschlssel
Texttitel	Hermann von Fritzlar: Heiligenleben
Textkrzel
a) ReM	Hleb
b) MWB	HvFritzlHl
c) MiGraKo-intern	V-4b-P_Hleb
Textbereich	Religion
Textsorte, spezifisch	Heiligenlegenden, Predigten
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz	Edition [Seite+Zeile]
2) šberlieferungstr„ger
Aufbewahrungsort	Heidelberg, Universit„tsbibl.
Signatur	Cpg 113
Handschriftencensus	http://www.handschriftencensus.de/2770
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	215 Bl„tter
Ausschnitt	Bl. 4r,13-19v,19; 89v,01-110r,21; 177v,9-192r,6
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	hessisch-thringisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,1
Zeit (genauere Datierung)	1349?
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	Franz Pfeiffer (Hg.), Deutsche Mystiker des vierzehnten Jahrhunderts, Bd. I: Hermann von Fritslar, Nicolaus von Straáburg, David von Augsburg, Leipzig 1845, S. 3-142.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Laila Cuno-Janáen (Bonn)
Bearbeiter: Kollationierung	Bernd Krause, Claudia Kl„s, Christine Hentschel, Hendrik Wevers (Bonn)
Bearbeiter: Pr„editierung	Frank Ringeler (Bonn)
Bearbeiter: Annotierung	Frank Ringeler (Bonn)
Bearbeiter: Korrektur	Barbara Lenz-Kemper, Tobias A. Kemper (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:49: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:13: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:54: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:54: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:37: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`hiŠr @adv	ùhiŠr	#adv	^	~hiŠ<r>	\*(H*)¡e	_Vú4búP_Hleb-004r,13{006,01}.01@	ø	:/R	³h=h³ie=iŠ³=r³
`hŠben @stv6b	ùhŠben/ane<.+	#stv6b	^3SGI	~hŠbet	\hebit*2	_Vú4búP_Hleb-004r,14{006,01}.01	ø	:/R	³h=h³e=Š³b=b³i=e³t=t³
`sich @pron	ùsich	#pron	^A	~sich	\$ich	_Vú4búP_Hleb-004r,14{006,01}.02	ø	:/R	³s=s³i=i³ch=ch³
`ane @adv	ùane/<.+hŠben	#adv	^	~ane	\ane*1	_Vú4búP_Hleb-004r,14{006,01}.03	ø	:/R	³a=a³n=n³e=e³
`d‰r @art	ùd‰r	#art	^NSn	~dazz	\d az	_Vú4búP_Hleb-004r,14{006,01}.04	ø	:/R	³d=d³a=a³z=zz³
`buoch @n	ùbuoch	#n	^NS	~buoch	\buch	_Vú4búP_Hleb-004r,14{006,01}.05	ø	:/R	³b=b³u=uo³ch=ch³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú4búP_Hleb-004r,14{006,01}.06	ø	:/R	³v=v³o=o³n=n³
`d‰r @art	ùd‰r	#art	^GP	~d‰r	\d er	_Vú4búP_Hleb-004r,14{006,01}.07	ø	:/R	³d=d³e=‰³r=r³
`hŠilig @adj	ùhŠilig	#adj	^GPw%	~hŠiligen	\heilig e\-	_Vú4búP_Hleb-004r,14{006,01}.08@	ø	:/R	³h=h³ei=Ši³l=l³i=i³g=g³e=e³\-=n³
`l‰ben @mn	ùl‰ben	#mn	^DS	~l‰bene	\leb¡ne.	_Vú4búP_Hleb-004r,15{006,02}.01	ø	:/R	³l=l³e=‰³b=b³i=e³n=n³e=e³
`durh @pr„p	ùdurh	#pr„p	^	~durh	\durch	_Vú4búP_Hleb-004r,15{006,02}.02	ø	:/R	³d=d³u=u³r=r³ch=h³
`d‰r @art	ùd‰r	#art	^ASn	~dazz	\d az	_Vú4búP_Hleb-004r,15{006,02}.03	ø	:/R	³d=d³a=a³z=zz³
`jƒr @n	ùjƒr	#n	^AS	~jƒr	\iar,,	_Vú4búP_Hleb-004r,15{006,02}.04	ø	:/R	³i=j³a=ƒ³r=r³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-se	\al$e	_Vú4búP_Hleb-004r,15{006,02}.05	ø	:/R	³a=a³l=ll³=-³s=s³e=e³
`‰r @pron	ù‰r	#pron	^NPmfn	~si	\$i	_Vú4búP_Hleb-004r,15{006,02}.06	ø	:/R	³s=s³i=i³
`nƒh @pr„p	ùnƒh	#pr„p	^	~nƒh	\nach	_Vú4búP_Hleb-004r,15{006,02}.07	ø	:/R	³n=n³a=ƒ³ch=h³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú4búP_Hleb-004r,15{006,02}.08	ø	:/R	³d=d³e=‰³r=r³
`zŒt @fn	ùzŒt	#fn	^DS	~zŒt	\zit	_Vú4búP_Hleb-004r,15{006,02}.09@	ø	:/R	³z=z³i=Œ³t=t³
`ge-vallen @stv7	ùge-vallen	#stv7	^3PG	~ge-vallen	\geuallen.(.)	_Vú4búP_Hleb-004r,16{006,02}.01	ø	:/R	³g=g³e=e³=-³u=v³a=a³ll=ll³e=e³n=n³
`ze @pr„p	ùze	#pr„p	^	~zuo	\Zu	_Vú4búP_Hleb-004r,16{006,04}.02	ø	:/R	³z=z³u=uo³
