+H
1) Allgemeine Informationen
ID	M352
Strukturschlssel
Texttitel	Mainzer Urkunden
Textkrzel
a) ReM	UMainz
b) MWB
c) MiGraKo-intern	V-4b-U_Mainz
Textbereich	Recht
Textsorte, spezifisch	Urkunden
Textart	U
Prim„re Referenz	[Handschrift]
Sekund„re Referenz
2) šberlieferungstr„ger
Aufbewahrungsort	Mainz, Stadtarchiv
Signatur
Handschriftencensus
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	rheinfr„nkisch
Lokalisierung	Mainz
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,1
Zeit (genauere Datierung)	1346-1350
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	1346-1350
Lokalisierung_Text	Mainz
Autor
Sprache des Autors	rheinfr„nkisch
šbersetzungsvorlage
Edition	"Die Urkunden des Stadtarchivs Mainz. Regesten von Richard Dertsch, Bd. 2: 1330 bis 1364, Mainz 1963, Nr. 1297 [=1], 1296 [=2], 1298 [=3], 1310 [=4], 1343 [=5], 1345 [=6], 1354 [=7],
1356 [=8], 1362 [=9], 1367 [=10], 1371 [=11], 1372 [=12], 1373 [=13], 1374 [=14], 1375 [=15], 1376 [=16], 1377 [=17], 1378 [=18], 1380 [=19], 1392 [=20], 1393 [=21], 1399 [=22], 1400 [=23], 1403 [=24], 1404 [=25], 1405 [=26], 1406 [=27], 1408 [=28], 1413 [=29], 1427 [=30]."
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Elke Weber (Bonn)
Bearbeiter: Annotierung	Elke Weber (Bonn)
Bearbeiter: Korrektur	Britta Weimann, Elke Weber (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:49: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:13: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:54: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:55: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:37: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`wir @pron	ùwir	#pron	^NP	~wir	\*{W*}¡r,	_Vú4búU_UMainz-01,01.01	ø	:	³w=w³i=i³r=r³
`[!] @[!]	ùSalman	#PN	^NS	~Salman	\Salman,	_Vú4búU_UMainz-01,01.02	ø	:	*³s=s³a=a³l=l³m=m³a=a³n=n³
`kamer‘re @m	ùkamer‘re	#m	^NS	~kamer‘r<e>	\Camer'.,)	_Vú4búU_UMainz-01,01.03	ø	:	³c=k³a=a³m=m³e=e³r=r³'=‘r³=e³
`Ruodolv @PN	ùRuodolv	#PN	^NS	~Ruodolv	\Ru\odolf,	_Vú4búU_UMainz-01,01.04	ø	:	*³r=r³u\o=u³d=d³o=o³l=l³f=f³
`schuld-hŠize @m	ùschuld-hŠize	#m	^NS	~schuld-hŠize	\Scu\olthe¡zze.,)	_Vú4búU_UMainz-01,01.05	ø	:	³sc=sch³u\o=u³l=l³t=d³=-³h=h³ei=Ši³zz=z³e=e³
`riht‘re @m	ùriht‘re	#m	^NS	~riht‘r<e>	\Richter	_Vú4búU_UMainz-01,01.06	ø	:	³r=r³i=i³ch=h³t=t³e=‘³r=r³=e³
`Volk-mƒr @PN	ùVolk-mƒr	#PN	^NS	~Volk-mƒr	\volgmar.,	_Vú4búU_UMainz-01,01.07	ø	:	*³v=v³o=o³l=l³g=k³m=m³a=ƒ³r=r³
`riht‘re @m	ùriht‘re	#m	^NS	~riht‘r<e>	\R¡cht'	_Vú4búU_UMainz-01,01.08	ø	:	³r=r³i=i³ch=h³t=t³'=‘r³=e³
`HŠin-rŒch @PN	ùHŠin-rŒch	#PN	^NS	~HŠin-rŒch	\He¡nr¡ch.,	_Vú4búU_UMainz-01,01.09	ø	:	*³h=h³ei=Ši³n=n³r=r³i=Œ³ch=ch³
`riht‘re @m	ùriht‘re	#m	^NS	~riht‘r<e>	\Richt'	_Vú4búU_UMainz-01,01.10	ø	:	³r=r³i=i³ch=h³t=t³'=‘r³=e³
`WillekŒn @PN	ùWillekŒn	#PN	^NS	~Will<e>kŒn	\w¡llck¡n	_Vú4búU_UMainz-01,01.11	ø	:	*³w=w³i=i³ll=ll³=e³ck=k³i=Œ³n=n³
`unte @konj	ùunte	#konj	^	~unt<e>	\vnd	_Vú4búU_UMainz-01,01.12	ø	:	³v=u³n=n³d=t³=e³
`riht‘re @m	ùriht‘re	#m	^NS	~riht‘r<e>	\Richt'	_Vú4búU_UMainz-01,01.13	ø	:	³r=r³i=i³ch=h³t=t³'=‘r³=e³
`Jakob @PN	ùJakob	#PN	^NS	~Jakob	\Iacob.,	_Vú4búU_UMainz-01,01.14	ø	:	*³i=j³a=a³c=k³o=o³b=b³
`w‰r(e)lt-lich @adj	ùw‰r(e)lt-lich	#adj	^NPm	~w‰r<e>lt-lŒche	\we<rn>tlich e	_Vú4búU_UMainz-01,01.15@	ø	:	³w=w³e=‰³r=r³=e³n=l³t=t³=-³l=l³i=Œ³ch=ch³e=e³
`riht‘re @m	ùriht‘re	#m	^NP	~riht‘r<e>	\Richte'	_Vú4búU_UMainz-01,02.01	ø	:	³r=r³i=i³ch=h³t=t³e=‘³'=r³=e³
