+H
1) Allgemeine Informationen
ID	M305
Strukturschlssel
Texttitel	Leben der heiligen Elisabeth (A)
Textkrzel
a) ReM	Elis
b) MWB	Elis
c) MiGraKo-intern	V-4b-V_Elis
Textbereich	Religion, Poesie
Textsorte, spezifisch	Heiligenlegende
Textart	V
Prim„re Referenz	Edition
Sekund„re Referenz	Handschrift
2) šberlieferungstr„ger
Aufbewahrungsort	Darmstadt, Universit„ts- und Landesbibl.
Signatur	Hs. 2269
Handschriftencensus	http://www.handschriftencensus.de/1963
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	noch 212 Bl„tter
Ausschnitt	"vv. 1-880 (fol. 1r-19r,18); 4598-5523 (96v,24-116r,15); 9622-10534 (201v,8-220v,16). - nur pr„ediert: 881{19r,18}-2299{49r,1}; 5524{116r,16}-6178{129v,22}; 8624{180v,24}-9621{201v,17} "
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	zentralhessisch
Lokalisierung	Wetterau oder Marburg
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,1
Zeit (genauere Datierung)	um 1320-30
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	nach 1297 (um oder kurz nach 1300)
Lokalisierung_Text	wohl Kloster Altenberg bei Wetzlar
Autor
Sprache des Autors	hessisch
šbersetzungsvorlage
Edition	Max Rieger (Hg.), Das Leben der heiligen Elisabeth vom Verfasser der Erl”sung (Bibliothek des Litterarischen Vereins in Stuttgart 90), Stuttgart 1868.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation	"nur pr„ediert: 881{19r,18}-2299{49r,1}; 5524{116r,16}-6178{129v,22}; 8624{180v,24}-9621{201v,17} "
6) Bearbeiter
Bearbeiter: Digitalisierung	Frank Ringeler (Bonn)
Bearbeiter: Kollationierung	Kathrin Chlench, Thomas Klein (Bonn)
Bearbeiter: Pr„editierung	Frank Ringeler (Bonn)
Bearbeiter: Annotierung	Susanne Hahn (Bonn)
Bearbeiter: Korrektur	Stefan Mller, Elke Weber (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:49: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:17: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:54: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:56: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:37: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:33: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`dise @pron	ùdise	#pron	^NSn%	~dizz	\[Di]z	_Vú4búV_Elis-00000{001r,01}.01	ø	:/R	³[d]=d³[i]=i³z=z³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_Vú4búV_Elis-00000{001r,01}.02	ø	:/R	³i=i³s=s³t=t³
`d‰r @art	ùd‰r	#art	^NSf	~di	\d i	_Vú4búV_Elis-00000{001r,01}.03	ø	:/R	³d=d³i=i³
`vor(e)-rŠde @f	ùvor(e)-rŠde	#f	^NS	~vor<e>-rŠde	\for#rede	_Vú4búV_Elis-00000{001r,01}.04	ø	:/R	³f=v³o=o³r=r³=e³=-³r=r³e=Š³d=d³e=e³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú4búV_Elis-00000{001r,01}.05	ø	:/R	³v=v³o=o³n=n³
`sancte @adj	ùsancte	#adj	^0	~san<c>te	\$ent e 	_Vú4búV_Elis-00000{001r,01}.06	ø	:/^[?]/R	³s=s³e=a³n=n³=c³t=t³e=e³
`Elisabˆt @PN	ùElisabˆt	#PN	^DS	~El<i>sabˆte	\el$ebede,	_Vú4búV_Elis-00000{001r,01}.07	ø	:/R	*³e=e³l=l³=i³s=s³e=a³b=b³e=ˆ³d=t³e=e³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú4búV_Elis-00000{001r,01}.08	ø	:/R	³d=d³e=‰³r=r³
`hŠilig @adj	ùhŠilig	#adj	^DSfw	~hŠiligen	\heileg en	_Vú4búV_Elis-00000{001r,01}.09	ø	:/R	³h=h³ei=Ši³l=l³e=i³g=g³e=e³n=n³
`vrouwe @f	ùvrouwe	#f	^DS	~vrouwe	\frouwe.(.)	_Vú4búV_Elis-00000{001r,01}.10@	ø	:/E[[Di]z i$t ... frouwe.: nicht in der Edition]/R	³f=v³r=r³ou=ou³w=w³e=e³
`guot @adj	ùguot	#adj	^APf	~guote	\*{G*}vd e	_Vú4búV_Elis-00001{001r,02}.01	ø	:	³g=g³v=uo³d=t³e=e³
`ƒventiure @f	ùƒventiure	#f	^AP	~ƒventiure	\auenture	_Vú4búV_Elis-00001{001r,02}.02	ø	:	³a=ƒ³u=v³e=e³n=n³t=t³u=iu³r=r³e=e³
`ze @pr„p	ùze	#pr„p	^	~zuo	\zv	_Vú4búV_Elis-00001{001r,02}.03	ø	:	³z=z³v=uo³
`sagen @swv-a	ùsagen	#swv-a i	^DS	~sagenne	\$agene.	_Vú4búV_Elis-00001{001r,02}.04@	ø	:	³s=s³a=a³g=g³e=e³n=n³e=e³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\I$t	_Vú4búV_Elis-00002{001r,03}.01	ø	:	³i=i³s=s³t=t³
`gar(e) @adv	ùgar(e)	#adv	^	~gar<e>	\gar	_Vú4búV_Elis-00002{001r,03}.02	ø	:	³g=g³a=a³r=r³=e³
`wol(e) @adv/konj	ùwol(e)	#adv	^	~wol<e>	\wol	_Vú4búV_Elis-00002{001r,03}.03	ø	:	³w=w³o=o³l=l³=e³
`ze @pr„p	ùze	#pr„p	^	~zuo	\zu\o	_Vú4búV_Elis-00002{001r,03}.04	ø	:	³z=z³u\o=uo³
`ver-tragen @stv6	ùver-tragen	#stv6 i	^DS	~ver-tragenne	\verdragene.,,	_Vú4búV_Elis-00002{001r,03}.05@	ø	:	³v=v³e=e³r=r³=-³d=t³r=r³a=a³g=g³e=e³n=n³e=e³
`wante @konj	ùwante	#konj	^	~want	\Want	_Vú4búV_Elis-00003{001r,04}.01	ø	:	³w=w³a=a³n=n³t=t³
`‰r @pron	ù‰r	#pron	^NPf	~si	\$i	_Vú4búV_Elis-00003{001r,04}.02	ø	:	³s=s³i=i³
