+H
1) Allgemeine Informationen
ID	M402
Strukturschlssel
Texttitel	Berliner Evangelistar
Textkrzel
a) ReM	BeEv
b) MWB	EvBerl
c) MiGraKo-intern	V-5-P_BeEv
Textbereich	Religion
Textsorte, spezifisch	Bibelbersetzung
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz	Edition
2) šberlieferungstr„ger
Aufbewahrungsort	Berlin, Staatsbibl.
Signatur	mgq 533
Handschriftencensus	http://www.handschriftencensus.de/11856
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 1r-125r
Ausschnitt	"Bl. 1r,1-9v,8; 57r,23-64v,15; 114v,23-125r,12. - nur pr„editiert: 125r,13-132v,29 "
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	ostmitteldeutsch
Sprachlandschaft	thringisch-obers„chsisch
Lokalisierung
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,1-14,2
Zeit (genauere Datierung)	14,M
Besonderheiten	Schreiber: Heinrich von Landshut
4) Text/ šbersetzungsvorlage
Datierung_Text
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	Gnter Feudel, Das Evangelistar der Berliner Handschrift Ms. Germ. 4ø 533. Hg. und im Rahmen der thringisch-obers„chsischen Prosawerke des 14. Jahrhunderts nach Lauten und Formen analysiert, I. Teil: Text des Evangeliars, Berlin 1961.
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation	nur pr„editiert: 125r,13-132v,29
6) Bearbeiter
Bearbeiter: Digitalisierung	Elfriede D”ring, Tobias A. Kemper, Gohar Gasparyan (Bonn), Heinz-Peter Prell (Bochum)
Bearbeiter: Kollationierung	Laila Cuno-Janáen, Kraus, Tobias A. Kemper, Hendrik Wevers, Kathrin Chlench (Bonn)
Bearbeiter: Pr„editierung	Hendrik Wevers (Bonn)
Bearbeiter: Annotierung	Diane Meyer (Bonn)
Bearbeiter: Korrektur	Elke Weber, Susanne Hahn (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:50: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:18: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:55: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:58: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:38: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:33: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`zŠichen @n	ùzŠichen	#n	^NP	~zŠichen	\[[zeichen]]	_Vú5úP_BeEv-001r,01{001}.01	ø	:/E[1r,01: Lc 21,25-33]	*³[[zeichen]]=zŠichen³
`w‰rden @stv3b	ùw‰rden	#stv3b	^3PG	~w‰rden	\[[werden]]	_Vú5úP_BeEv-001r,01{001}.02	ø	:	*³[[werden]]=w‰rden³
`ge-sch‰hen @stv5	ùge-sch‰hen	#stv5 i	^-	~ge-schˆ{‰he}n	\ge$chen	_Vú5úP_BeEv-001r,01{001}.03	ø	:	³g=g³e=e³=-³sch=sch³e=ˆ{‰he}³n=n³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_Vú5úP_BeEv-001r,01{001}.04	ø	:	³a=a³n=n³=e³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú5úP_BeEv-001r,01{001}.05	ø	:	³d=d³e=‰³r=r³
`sunne @mf	ùsunne	#f	^DS	~sunnen	\$unnen.	_Vú5úP_BeEv-001r,01{001}.06	ø	:	³s=s³u=u³nn=nn³e=e³n=n³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,01{001}.07	ø	:	³v=u³n=n³d=t³e=e³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_Vú5úP_BeEv-001r,01{001}.08	ø	:	³a=a³n=n³=e³
`d‰r @art	ùd‰r	#art	^DSm	~d‰m	\d em	_Vú5úP_BeEv-001r,01{001}.09	ø	:	³d=d³e=‰³m=m³
`mƒne @mf	ùmƒne	#m	^DS	~mƒne	\mane.	_Vú5úP_BeEv-001r,01{001}.10	ø	:	³m=m³a=ƒ³n=n³e=e³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,01{001}.11	ø	:	³v=u³n=n³d=t³e=e³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_Vú5úP_BeEv-001r,01{001}.12@	ø	:	³a=a³n=n³=e³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\d en	_Vú5úP_BeEv-001r,02{001}.01	ø	:	³d=d³e=‰³n=n³
`st‰rn(e) @m	ùst‰rn(e)	#m	^DP	~st‰rnen	\$ternen.	_Vú5úP_BeEv-001r,02{001}.02	ø	:	³s=s³t=t³e=‰³r=r³n=n³e=e³n=n³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,02{001}.03	ø	:	³v=u³n=n³d=t³e=e³
`in @pr„p	ùin	#pr„p	^	~in	\in	_Vú5úP_BeEv-001r,02{001}.04	ø	:	³i=i³n=n³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\d em	_Vú5úP_BeEv-001r,02{001}.05	ø	:/\[Feudel verbessert in {den} mit Verweis auf "in terris"]	³d=d³e=‰³m=n³
`‰rd-rŒche @n	ù‰rd-rŒche	#n	^DP	~‰rd-rŒchen	\ertrichen	_Vú5úP_BeEv-001r,02{001}.06	ø	:	³e=‰³r=r³t=d³=-³r=r³i=Œ³ch=ch³e=e³n=n³
`ge-drŠnge @n	ùge-drŠnge	#n	^NS	~ge-drŠnge	\gedrenge	_Vú5úP_BeEv-001r,02{001}.07	ø	:	³g=g³e=e³=-³d=d³r=r³e=Š³n=n³g=g³e=e³
`d‰r @art	ùd‰r	#art	^GP	~d‰r	\d er	_Vú5úP_BeEv-001r,02{001}.08	ø	:	³d=d³e=‰³r=r³
`ge-slŠhte @n	ùge-slŠhte	#n	^GP	~ge-slŠhte	\ge=$lechte	_Vú5úP_BeEv-001r,02{001}.09@	ø	:	³g=g³e=e³=-³s=s³l=l³e=Š³ch=h³t=t³e=e³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú5úP_BeEv-001r,03{001}.01	ø	:	³v=v³o=o³n=n³
`d‰r @art	ùd‰r	#art	^DSm	~d‰m	\d em	_Vú5úP_BeEv-001r,03{001}.02	ø	:	³d=d³e=‰³m=m³
`sturm @m<(u)>	ùsturm	#m<(u)>	^DS	~sturme	\$turme	_Vú5úP_BeEv-001r,03{001}.03	ø	:	³s=s³t=t³u=u³r=r³m=m³e=e³
`d‰r @art	ùd‰r	#art	^GSn	~d‰s	\d es	_Vú5úP_BeEv-001r,03{001}.04	ø	:	³d=d³e=‰³s=s³
`l–ten @swv	ùl–ten	#swv pG	^GSnw	~l–tenten	\luttend e n	_Vú5úP_BeEv-001r,03{001}.05	ø	:	³l=l³u=–³tt=t³e=e³n=n³d=t³e=e³n=n³
`mŠr(e) @n	ùmŠr(e)	#n	^GS	~mŠr(e)s	\meres.	_Vú5úP_BeEv-001r,03{001}.06	ø	:	³m=m³e=Š³r=r³e=e³s=s³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,03{001}.07@	ø	:	³v=u³n=n³d=t³e=e³
`d‰r @art	ùd‰r	#art	^GP	~d‰r	\d er	_Vú5úP_BeEv-001r,04{001}.01	ø	:	³d=d³e=‰³r=r³
`wazzer @n	ùwazzer	#n	^GP	~wazzer(e)	\wazzere.(.)	_Vú5úP_BeEv-001r,04{001}.02	ø	:	³w=w³a=a³zz=zz³e=e³r=r³e=e³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,04{001}.03	ø	:	³v=u³n=n³d=t³e=e³
`d‰r @art	ùd‰r	#art	^NPmn	~di	\d y	_Vú5úP_BeEv-001r,04{001}.04	ø	:	³d=d³y=i³
`liut @mn	ùliut	#mn	^NP	~liute	\lu\ete	_Vú5úP_BeEv-001r,04{001}.05	ø	:	³l=l³u\e=iu³t=t³e=e³
`sol(e)n @anv	ùsol(e)n	#anv	^3PG	~sul(e)n	\$ullen	_Vú5úP_BeEv-001r,04{001}.06	ø	:	³s=s³u=u³ll=l³e=e³n=n³
`dorren @swv	ùdorren	#swv i	^-	~dorren	\dorren	_Vú5úP_BeEv-001r,04{001}.07	ø	:	³d=d³o=o³rr=rr³e=e³n=n³
`vor(e) @pr„p	ùvor(e)	#pr„p	^	~vor<e>	\vor	_Vú5úP_BeEv-001r,04{001}.08	ø	:	³v=v³o=o³r=r³=e³
`vorht(e) @f	ùvorht(e)	#f	^DP	~vorhten	\vorch=ten.	_Vú5úP_BeEv-001r,04{001}.09@	ø	:	³v=v³o=o³r=r³ch=h³t=t³e=e³n=n³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,05{001}.01	ø	:	³v=u³n=n³d=t³e=e³
`vor(e) @pr„p	ùvor(e)	#pr„p	^	~vor<e>	\uor	_Vú5úP_BeEv-001r,05{001}.02	ø	:	³u=v³o=o³r=r³=e³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú5úP_BeEv-001r,05{001}.03	ø	:	³d=d³e=‰³r=r³
`lŠitunge @f	ùlŠitunge	#f	^DS	~lŠitunge	\le¡tunge,,	_Vú5úP_BeEv-001r,05{001}.04	ø	:	³l=l³ei=Ši³t=t³u=u³n=n³g=g³e=e³
`d‰r @pron	ùd‰r	#pron	^NSf+	~di	\d y	_Vú5úP_BeEv-001r,05{001}.05	ø	:	³d=d³y=i³
`komen @stv4	ùkomen	#stv4 pG	^-	~kumente	\kumend e 	_Vú5úP_BeEv-001r,05{001}.06	ø	:	³k=k³u=u³m=m³e=e³n=n³d=t³e=e³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\¡$t	_Vú5úP_BeEv-001r,05{001}.07	ø	:	³i=i³s=s³t=t³
`all @pron	ùall	#pron	^0DSf	~alle	\alle	_Vú5úP_BeEv-001r,05{001}.08	ø	:/^[!]	³a=a³ll=ll³e=e³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú5úP_BeEv-001r,05{001}.09@	ø	:	³d=d³e=‰³r=r³
`w‰r(e)lt @f	ùw‰r(e)lt	#f	^DS	~w‰r<e>lte	\werlde.,,	_Vú5úP_BeEv-001r,06{001}.01	ø	:	³w=w³e=‰³r=r³=e³l=l³d=t³e=e³
`wante @konj	ùwante	#konj	^	~wŠn<te>	\wen	_Vú5úP_BeEv-001r,06{001}.02	ø	:	³w=w³e=Š³n=n³=te³
`d‰r @art	ùd‰r	#art	^NPf	~di	\d y	_Vú5úP_BeEv-001r,06{001}.03	ø	:	³d=d³y=i³
`tugend(e) @f	ùtugend(e)	#f	^NP	~tugende	\tugende	_Vú5úP_BeEv-001r,06{001}.04	ø	:	³t=t³u=u³g=g³e=e³n=n³d=d³e=e³
`d‰r @art	ùd‰r	#art	^GP	~d‰r	\d er	_Vú5úP_BeEv-001r,06{001}.05	ø	:	³d=d³e=‰³r=r³
`himel @m	ùhimel	#m	^GP	~himel(e)	\hemele.	_Vú5úP_BeEv-001r,06{001}.06	ø	:	³h=h³e=i³m=m³e=e³l=l³e=e³
`w‰rden @stv3b	ùw‰rden	#stv3b	^3PG	~w‰rden	\werden	_Vú5úP_BeEv-001r,06{001}.07	ø	:	³w=w³e=‰³r=r³d=d³e=e³n=n³
`be-w‰gen @stv5	ùbe-w‰gen	#stv5 pV	^-	~be-w‰gen	\bewe(=)gen .(.)	_Vú5úP_BeEv-001r,06{001}.08@	ø	:	³b=b³e=e³=-³w=w³e=‰³g=g³e=e³n=n³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,07{001}.01	ø	:	³v=u³n=n³d=t³e=e³
`danne @adv/konj	ùdanne	#adv	^	~dŠnne	\denne	_Vú5úP_BeEv-001r,07{001}.02	ø	:	³d=d³e=Š³nn=nn³e=e³
`sol(e)n @anv	ùsol(e)n	#anv	^3PG	~sul(e)n	\$ullen	_Vú5úP_BeEv-001r,07{001}.03	ø	:	³s=s³u=u³ll=l³e=e³n=n³
`‰r @pron	ù‰r	#pron	^NPf	~si	\$y	_Vú5úP_BeEv-001r,07{001}.04	ø	:	³s=s³y=i³
`s‰hen @stv5	ùs‰hen	#stv5 i	^-	~sˆ{‰he}n	\$en	_Vú5úP_BeEv-001r,07{001}.05	ø	:	³s=s³e=ˆ{‰he}³n=n³
`komen @stv4	ùkomen	#stv4 pG	^-	~kumente	\kumend e 	_Vú5úP_BeEv-001r,07{001}.06	ø	:	³k=k³u=u³m=m³e=e³n=n³d=t³e=e³
`in @pr„p	ùin	#pr„p	^	~in	\¡n	_Vú5úP_BeEv-001r,07{001}.07	ø	:	³i=i³n=n³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\d en	_Vú5úP_BeEv-001r,07{001}.08	ø	:	³d=d³e=‰³n=n³
`wolke(n) @mfn	ùwolke(n)	#mfn	^DP	~wolken<en>	\wol=ken	_Vú5úP_BeEv-001r,07{001}.09@	ø	:	³w=w³o=o³l=l³k=k³e=e³n=n³=en³
`d‰r @art	ùd‰r	#art	^GSmn	~d‰s	\d es	_Vú5úP_BeEv-001r,08{001}.01	ø	:	³d=d³e=‰³s=s³
`mŠn(ni)sche @mn	ùmŠn(ni)sche	#mn	^GS	~mŠnn<i>schen	\men$chen	_Vú5úP_BeEv-001r,08{001}.02	ø	:	³m=m³e=Š³n=nn³=i³sch=sch³e=e³n=n³
`sun @m<u>	ùsun	#m<u>	^AS	~sun	\$vn	_Vú5úP_BeEv-001r,08{001}.03	ø	:	³s=s³v=u³n=n³
`mit @pr„p	ùmit	#pr„p	^	~mit	\m¡t	_Vú5úP_BeEv-001r,08{001}.04	ø	:	³m=m³i=i³t=t³
`gr“z @adj	ùgr“z	#adj	^DSf	~gr“zer	\groz er	_Vú5úP_BeEv-001r,08{001}.05	ø	:	³g=g³r=r³o=“³z=z³e=e³r=r³
